objectid,kode_kec_spatial,nama_prop,nama_kab,nama_kec,jumlah_penduduk,kepadatan_penduduk,jumlah_kk,luas_wilayah,pertumbuhan_2022,pertumbuhan_2021,pertumbuhan_2020,perpindahan_pddk,jumlah_desa,jumlah_kelurahan,perdagangan,nelayan,wiraswasta,tidak_blm_sekolah,slta,s1
,327201.0,JAWA BARAT,KOTA SUKABUMI,GUNUNG PUYUH,50705.0,1040.15399263,16378.0,5.25,1.0,2.0,2.0,184.0,,4.0,86.0,1.0,2480.0,10722.0,14011.0,3268.0
,127801.0,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI,62606.0,299.29941922,16665.0,59.69,1.0,2.0,2.0,362.0,29.0,3.0,135.0,857.0,5389.0,20144.0,11156.0,4978.0
,127804.0,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,25036.0,119.82710701,6369.0,74.61,1.0,1.0,2.0,162.0,26.0,,22.0,335.0,902.0,9154.0,3160.0,765.0
,127802.0,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI SELATAN,14850.0,71.00208928,4060.0,30.35,1.0,1.0,1.0,97.0,15.0,,12.0,78.0,768.0,4830.0,2242.0,962.0
,631102.0,KALIMANTAN SELATAN,BALANGAN,HALONG,20899.0,11.34200304,7085.0,782.33,1.0,2.0,1.0,81.0,24.0,,99.0,3.0,1824.0,5324.0,2603.0,589.0
,620704.0,KALIMANTAN TENGAH,SERUYAN,HANAU,19208.0,1.24369395,6140.0,860.73,1.0,2.0,2.0,83.0,7.0,,13.0,102.0,498.0,5440.0,2491.0,518.0
,320826.0,JAWA BARAT,KUNINGAN,HANTARA,15039.0,12.53419197,5300.0,36.45,1.0,1.0,1.0,19.0,8.0,,44.0,,1228.0,2281.0,2469.0,390.0
,130705.0,SUMATERA BARAT,LIMA PULUH KOTA,HARAU,56943.0,17.26214752,17976.0,302.02,1.0,2.0,2.0,216.0,11.0,,88.0,2.0,3681.0,9428.0,11021.0,3014.0
,121705.0,SUMATERA UTARA,SAMOSIR,HARIAN,10638.0,5.598813,2997.0,394.37,1.0,1.0,2.0,47.0,13.0,,6.0,3.0,1062.0,3081.0,2645.0,337.0
,327403.0,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,128587.0,3219.42938225,40705.0,17.94,2.0,2.0,2.0,314.0,,5.0,230.0,14.0,6013.0,36241.0,31038.0,8893.0
,630512.0,KALIMANTAN SELATAN,TAPIN,HATUNGUN,9912.0,4.55207684,3459.0,99.73,1.0,2.0,2.0,20.0,8.0,,15.0,,1417.0,2429.0,979.0,106.0
,532005.0,NUSA TENGGARA TIMUR,SABU RAIJUA,HAWU MEHARA,20109.0,43.29904959,5479.0,64.95,1.0,2.0,2.0,67.0,10.0,,5.0,11.0,140.0,5936.0,2987.0,480.0
,530718.0,NUSA TENGGARA TIMUR,SIKKA,HEWOKLOANG,9691.0,5.71292179,3079.0,18.31,1.0,1.0,2.0,27.0,7.0,,,1.0,212.0,1615.0,1843.0,471.0
,121411.0,SUMATERA UTARA,NIAS SELATAN,HILIMEGAI,7117.0,2.81826107,1717.0,34.59,1.0,1.0,1.0,51.0,10.0,,5.0,1.0,199.0,3168.0,776.0,118.0
,120420.0,SUMATERA UTARA,NIAS,HILISERANGKAI,12563.0,13.960627,3250.0,36.6,1.0,2.0,2.0,75.0,15.0,,7.0,1.0,558.0,4983.0,1502.0,341.0
,120510.0,SUMATERA UTARA,LANGKAT,HINAI,57257.0,9.27763441,18471.0,105.01,1.0,2.0,2.0,113.0,12.0,1.0,53.0,33.0,9952.0,17450.0,10739.0,1150.0
,940706.0,PAPUA TENGAH,INTAN JAYA,HITADIPA,16629.0,3.1045404,4397.0,,0.0,0.0,0.0,29.0,9.0,,1.0,1.0,178.0,8794.0,1880.0,354.0
