kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk
tangerang,cisauk,61.139,99.798,27.07,51.37,Tree cover,0.365,0.313,40.893,2020,1,0,-6.3391,106.6302,91438.0
tangerang,cisoka,63.767,124.587,27.07,26.713,Tree cover,0.33,0.26,38.246,2020,1,1,-6.2598,106.4167,97591.0
tangerang,curug,62.064,115.058,27.07,30.753,Built-up,0.187,0.142,38.529,2020,1,1,-6.2426,106.5661,176617.0
tangerang,gunungkaler,68.245,139.488,28.97,8.194,Cropland,0.265,0.068,37.613,2020,1,0,-6.0957,106.3742,56160.0
tangerang,jambe,61.947,113.343,23.16,43.823,Tree cover,0.417,0.302,39.356,2020,1,1,-6.3238,106.4992,55650.0
tangerang,jayanti,68.243,140.441,27.07,18.626,Tree cover,0.316,0.144,37.613,2020,1,1,-6.2068,106.3983,70728.0
tangerang,kelapadua,60.938,110.692,27.07,27.206,Built-up,0.178,0.146,38.338,2020,1,1,-6.2426,106.6094,167553.0
tangerang,kemiri,69.243,130.467,27.69,5.064,Cropland,0.286,0.09,37.613,2020,1,0,-6.0878,106.4638,61384.0
tangerang,kosambi,71.976,111.737,25.89,3.034,Built-up,0.181,0.058,37.386,2020,1,0,-6.0809,106.685,111705.0
tangerang,kresek,67.886,141.048,28.03,11.706,Cropland,0.264,0.093,37.613,2020,1,1,-6.1444,106.4044,71795.0
tangerang,kronjo,68.633,132.294,28.16,4.048,Cropland,0.306,0.069,37.613,2020,1,0,-6.0703,106.4282,65599.0
tangerang,legok,60.979,107.886,22.42,43.009,Tree cover,0.352,0.179,40.893,2020,1,1,-6.3048,106.565,124324.0
tangerang,mauk,68.675,119.976,29.38,3.228,Cropland,0.222,0.07,37.437,2020,1,0,-6.058,106.5207,91382.0
tangerang,mekarbaru,67.515,131.205,29.23,4.93,Cropland,0.217,0.066,37.613,2020,1,0,-6.062,106.3871,44152.0
tangerang,pagedangan,59.04,101.01,27.07,39.721,Tree cover,0.292,0.198,40.815,2020,1,0,-6.2973,106.6175,111222.0
tangerang,pakuhaji,71.044,116.503,27.85,3.922,Cropland,0.325,0.061,37.386,2020,1,1,-6.0602,106.6063,127330.0
tangerang,panongan,62.447,117.775,26.07,36.953,Tree cover,0.295,0.192,40.396,2020,1,0,-6.2789,106.5262,129996.0
tangerang,pasarkemis,66.088,125.859,27.07,14.061,Built-up,0.211,0.127,37.386,2020,1,1,-6.1589,106.5525,255345.0
tangerang,rajeg,68.517,131.345,27.07,8.659,Cropland,0.285,0.105,37.487,2020,1,0,-6.1163,106.5103,188209.0
tangerang,sepatan,66.904,123.707,27.07,8.849,Built-up,0.277,0.052,37.386,2020,1,0,-6.1183,106.5801,112289.0
tangerang,sepatantimur,67.557,124.29,27.07,9.449,Built-up,0.277,0.066,37.386,2020,1,1,-6.1199,106.6084,105994.0
tangerang,sindangjaya,67.486,137.412,27.07,17.038,Tree cover,0.267,0.132,37.517,2020,1,0,-6.1689,106.4989,95575.0
tangerang,solear,61.352,116.78,27.07,39.539,Tree cover,0.368,0.297,38.561,2020,1,1,-6.3069,106.4215,101969.0
tangerang,sukadiri,69.364,119.431,29.34,4.864,Cropland,0.305,0.063,37.386,2020,1,0,-6.0699,106.559,66679.0
tangerang,sukamulya,66.969,138.94,26.21,14.287,Cropland,0.261,0.136,37.613,2020,1,0,-6.1604,106.4362,74309.0
tangerang,teluknaga,73.084,110.456,27.57,3.313,Permanent water bodies,0.248,0.071,37.386,2020,1,1,-6.0499,106.6582,167977.0
tangerang,tigaraksa,63.672,124.858,26.03,29.506,Tree cover,0.373,0.225,38.265,2020,1,1,-6.2657,106.4673,163531.0
depok,beji,63.756,98.682,35.05,78.676,Built-up,0.372,0.279,40.561,2020,1,0,-6.3731,106.819,156512.0
depok,bojongsari,64.924,112.042,35.05,87.016,Built-up,0.35,0.265,40.858,2020,1,0,-6.3943,106.7378,128079.0
depok,cilodong,64.502,115.694,35.34,106.017,Built-up,0.325,0.295,40.561,2020,1,0,-6.4303,106.8379,161689.0
depok,cimanggis,62.814,94.31,35.05,74.634,Built-up,0.319,0.278,40.561,2020,1,0,-6.3677,106.8694,236198.0
depok,cinere,64.617,100.544,35.05,54.274,Built-up,0.187,0.287,40.561,2020,1,0,-6.3315,106.7894,84101.0
depok,cipayung,65.375,117.477,34.25,106.638,Built-up,0.332,0.3,40.561,2020,1,0,-6.3253,106.9036,308484.0
depok,limo,63.159,103.567,35.05,73.923,Built-up,0.324,0.284,40.561,2020,1,0,-6.3686,106.7808,98758.0
depok,pancoranmas,64.492,110.824,35.65,89.403,Built-up,0.319,0.285,40.561,2020,1,0,-6.3984,106.7998,239940.0
depok,sawangan,64.564,112.238,32.01,91.287,Tree cover,0.4,0.296,40.564,2020,1,0,-6.4067,106.7641,170342.0
depok,sukmajaya,63.867,105.664,36.21,88.001,Built-up,0.269,0.34,40.561,2020,1,0,-6.3973,106.8436,248803.0
depok,tapos,62.345,107.37,36.83,98.048,Built-up,0.473,0.278,40.561,2020,1,0,-6.4192,106.8805,254663.0
bekasi,babelan,72.391,107.814,28.36,3.768,Cropland,0.232,0.07,35.995,2020,1,1,-6.1257,107.0341,256183.0
bekasi,bojongmangu,57.008,81.637,30.4,48.869,Tree cover,0.578,0.584,37.163,2020,1,0,-6.4389,107.1778,30251.0
bekasi,cabangbungin,69.763,106.196,29.01,3.757,Cropland,0.35,0.053,35.984,2020,1,0,-6.0781,107.1363,60214.0
bekasi,cibarusah,63.774,92.039,31.09,52.034,Cropland,0.597,0.394,37.163,2020,1,0,-6.434,107.1108,102578.0
bekasi,cibitung,61.963,85.414,29.01,14.027,Cropland,0.301,0.106,36.233,2020,1,1,-6.2357,107.1004,255947.0
bekasi,cikarangbarat,61.979,83.963,29.01,29.644,Built-up,0.223,0.174,37.117,2020,1,1,-6.2973,107.0941,211039.0
bekasi,cikarangpusat,47.662,66.183,30.92,34.68,Built-up,0.435,0.347,37.163,2020,1,1,-6.3596,107.1836,68445.0
bekasi,cikarangselatan,56.984,77.494,29.01,41.443,Built-up,0.346,0.306,37.163,2020,1,1,-6.3385,107.1279,171742.0
bekasi,cikarangtimur,45.702,64.298,28.82,15.164,Cropland,0.375,0.085,37.181,2020,1,1,-6.2885,107.209,110191.0
bekasi,cikarangutara,54.51,74.838,29.01,17.902,Built-up,0.306,0.13,37.048,2020,1,1,-6.2754,107.1556,239769.0
bekasi,karangbahagia,55.15,78.498,29.47,10.334,Cropland,0.334,0.08,35.984,2020,1,0,-6.2172,107.197,133153.0
bekasi,kedungwaringin,50.373,72.076,26.9,10.722,Cropland,0.398,0.076,37.054,2020,1,0,-6.2516,107.2483,76652.0
bekasi,muaragembong,78.545,112.274,27.59,1.597,Permanent water bodies,0.233,0.046,36.033,2020,1,0,-6.0033,107.0499,43722.0
bekasi,pebayuran,59.992,86.24,27.89,7.055,Cropland,0.336,0.061,35.956,2020,1,0,-6.1593,107.2485,110356.0
bekasi,serangbaru,61.124,84.232,31.43,47.778,Tree cover,0.507,0.25,37.163,2020,1,0,-6.3956,107.1143,152783.0
bekasi,setu,66.263,92.934,27.92,51.932,Tree cover,0.415,0.202,37.235,2020,1,1,-6.3637,107.0373,165907.0
bekasi,sukakarya,62.868,95.065,28.15,5.911,Cropland,0.328,0.05,35.984,2020,1,1,-6.1449,107.1856,56989.0
bekasi,sukatani,60.848,87.118,28.52,9.292,Cropland,0.353,0.08,35.984,2020,1,0,-6.1918,107.1559,102679.0
bekasi,sukawangi,68.314,105.052,29.12,3.12,Cropland,0.35,0.044,35.984,2020,1,1,-6.1187,107.091,54097.0
bekasi,tambelang,63.43,93.347,28.43,5.555,Cropland,0.35,0.072,35.984,2020,1,0,-6.167,107.1273,43986.0
bekasi,tambunselatan,63.162,86.733,29.01,20.065,Built-up,0.2,0.152,36.675,2020,1,1,-6.2571,107.0543,433710.0
bekasi,tambunutara,66.069,92.899,29.01,8.214,Built-up,0.28,0.091,35.984,2020,1,1,-6.1927,107.0611,193581.0
bekasi,tarumajaya,71.663,105.751,29.22,2.309,Cropland,0.238,0.051,36.833,2020,1,1,-6.1219,106.9975,123032.0
kota bekasi,bantargebang,64.963,89.819,37.38,46.555,Built-up,0.212,0.262,39.588,2020,1,1,-6.3385,106.9912,113988.0
kota bekasi,bekasibarat,65.182,89.137,37.38,17.765,Built-up,0.198,0.161,37.681,2020,1,1,-6.2336,106.9628,266287.0
kota bekasi,bekasiselatan,63.905,85.867,37.38,22.99,Built-up,0.209,0.103,39.529,2020,1,1,-6.2582,106.9778,214493.0
kota bekasi,bekasitimur,64.017,88.978,37.38,19.269,Built-up,0.154,0.113,36.233,2020,1,1,-6.2421,107.0191,273703.0
kota bekasi,bekasiutara,64.99,90.551,37.38,13.259,Built-up,0.176,0.12,36.44,2020,1,1,-6.2074,107.0064,338087.0
kota bekasi,jatiasih,64.373,88.471,37.38,39.466,Built-up,0.288,0.259,40.561,2020,1,1,-6.3072,106.9524,239159.0
